ticker,ley,moneda_pago,lamina,calificacion,sector,underlying
AE38,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AE38C,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AE38D,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AEC2C,Ley N.Y.,CCL,,,,
AEC2D,Ley N.Y.,CCL,,,,
AEC2O,Ley N.Y.,CCL,,,Servicios,Aes Argentina Generación S.A.
AERBD,Ley Argentina,MEP,1.0,,,
AERBO,Ley Argentina,MEP,1.0,,Infraestructura,Aeropuertos Argentina 2000 S.A.
AFCHD,Ley Argentina,MEP,1.0,A1+ (FIX),,
AFCHO,Ley Argentina,MEP,1.0,A1+ (FIX),Financiera,Banco Comafi S.A.
AFCIC,Ley Argentina,MEP,1.0,A1+ (FIX),,
AFCID,Ley Argentina,MEP,1.0,A1+ (FIX),,
AFCIO,Ley Argentina,MEP,1.0,A1+ (FIX),Financiera,Banco Comafi S.A.
AFCJC,Ley Argentina,MEP,1100.0,,,
AFCJD,Ley Argentina,MEP,1100.0,,,
AFCJO,Ley Argentina,MEP,1100.0,,Financiera,Banco Comafi S.A.
AFCKC,Ley Argentina,MEP,1100.0,,,
AFCKD,Ley Argentina,MEP,1100.0,,,
AFCKO,Ley Argentina,MEP,1100.0,,Financiera,Banco Comafi S.A.
AFCLC,Ley Argentina,MEP,,,,
AFCLD,Ley Argentina,MEP,,,,
AFCLO,Ley Argentina,MEP,,,Financiera,Banco Comafi S.A.
AFCQD,Ley Argentina,CCL,,,,
AFCQO,Ley Argentina,CCL,,,Financiera,Banco Comafi S.A.
AL29,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AL29C,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AL29D,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AL30,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AL30C,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AL30D,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AL35,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AL35C,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AL35D,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AL41,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AL41C,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AL41D,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AN29,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AN29C,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AN29D,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AO27,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AO27C,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AO27D,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AO28,Ley Argentina,,,,Soberano,Gobierno Argentino
AO28C,Ley Argentina,,,,Soberano,Gobierno Argentino
AO28D,Ley Argentina,,,,Soberano,Gobierno Argentino
AO29,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AO29C,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
AO29D,Ley Argentina,MEP,,,Soberano,Gobierno Argentino
ARC1C,Ley N.Y.,CCL,1000.0,AA(arg),,
ARC1D,Ley N.Y.,CCL,1000.0,AA(arg),,
ARC1O,Ley N.Y.,CCL,1000.0,AA(arg),Infraestructura,Aeropuertos Argentina 2000 S.A.
AUS1L,Ley Argentina,MEP,,,Agro,Alz Nutrientes S.A.
AXS1M,Ley Argentina,MEP,,,Agro,AKRON S.A.
BA37D,,,,,Subsoberano,
BA7DC,,,,,Subsoberano,
BA7DD,,,,,Subsoberano,
BACAC,Ley N.Y.,CCL,,,,
BACAD,Ley N.Y.,CCL,,,,
BACAO,Ley N.Y.,CCL,,,Financiera,Banco Macro S.A.
BACGC,Ley N.Y.,CCL,1000.0,CCC+ (Fitch),,
BACGD,Ley N.Y.,CCL,1000.0,CCC+ (Fitch),,
BACGO,Ley N.Y.,CCL,1000.0,CCC+ (Fitch),Financiera,Banco Macro S.A.
BACHC,Ley N.Y.,CCL,1000.0,,,
BACHD,Ley N.Y.,CCL,1000.0,,,
BACHO,Ley N.Y.,CCL,1000.0,,Financiera,Banco Macro S.A.
BAF27,,,,,Subsoberano,
BAS26,,,,,Subsoberano,
BB37D,,,,,Subsoberano,
BB7DC,,,,,Subsoberano,
BB7DD,,,,,Subsoberano,
BC33C,,,,,Subsoberano,
BC33D,,,,,Subsoberano,
BC37D,,,,,Subsoberano,
BDC28,,,,,Subsoberano,
BDC33,,,,,Subsoberano,
BDC36,,,,,Subsoberano,
BF37C,Ley Argentina,MEP,1200.0,,,
BF37D,Ley Argentina,MEP,1200.0,,,
BF37O,Ley Argentina,MEP,1200.0,,Financiera,Banco Bbva Argentina S.A
BF39D,Ley Argentina,MEP,1.0,A1+(arg) (FIX),,
BF39O,Ley Argentina,MEP,1.0,A1+(arg) (FIX),Financiera,Banco Bbva Argentina S.A
BF40D,Ley Argentina,MEP,,,,
BF40O,Ley Argentina,MEP,,,Financiera,Banco Bbva Argentina S.A
BF44D,Ley Argentina,MEP,1200.0,,,
BF44O,Ley Argentina,MEP,1200.0,,Financiera,Banco Bbva Argentina S.A
BF45D,Ley Argentina,MEP,,,,
BF45O,Ley Argentina,MEP,,,Financiera,Banco Bbva Argentina S.A
BGC4D,Ley Argentina,MEP,1200.0,A1 (FIX),,
BGC4O,Ley Argentina,MEP,1200.0,A1 (FIX),Financiera,Banco Patagonia
BGD26,,,,,Subsoberano,
BPA7C,,,,,Soberano,Gobierno Argentino
BPA7D,,,,,Soberano,Gobierno Argentino
BPA8C,,,,,Soberano,Gobierno Argentino
BPA8D,,,,,Soberano,Gobierno Argentino
BPB7C,,,,,Soberano,Gobierno Argentino
BPB7D,,,,,Soberano,Gobierno Argentino
BPB8C,,,,,Soberano,Gobierno Argentino
BPB8D,,,,,Soberano,Gobierno Argentino
BPC7C,,,,,Soberano,Gobierno Argentino
BPC7D,,,,,Soberano,Gobierno Argentino
BPCSD,Ley Argentina,MEP,,,,
BPCSO,Ley Argentina,MEP,,,Financiera,Banco Supervielle S.A.
BPCTC,Ley Argentina,MEP,1.0,AA+ (FIX),,
BPCTD,Ley Argentina,MEP,1.0,AA+ (FIX),,
BPCTO,Ley Argentina,MEP,1.0,AA+ (FIX),Financiera,Banco Supervielle S.A.
BPCUD,Ley Argentina,MEP,,,,
BPCUO,Ley Argentina,MEP,,,Financiera,Banco Supervielle S.A.
BPCVD,Ley Argentina,MEP,1100.0,,,
BPCVO,Ley Argentina,MEP,1100.0,,Financiera,Banco Supervielle S.A.
BPD7C,,,,,Soberano,Gobierno Argentino
BPD7D,,,,,Soberano,Gobierno Argentino
BPOA7,,,,,Soberano,Gobierno Argentino
BPOA8,,,,,Soberano,Gobierno Argentino
BPOB7,,,,,Soberano,Gobierno Argentino
BPOB8,,,,,Soberano,Gobierno Argentino
BPOC7,,,,,Soberano,Gobierno Argentino
BPOD7,,,,,Soberano,Gobierno Argentino
BRA27,,,,,Subsoberano,
BU3S6,,,,,Subsoberano,
BUN26,,,,,Subsoberano,
BVCPD,Ley Argentina,MEP,1.0,A1 (FIX),,
BVCPO,Ley Argentina,MEP,1.0,A1 (FIX),Financiera,Banco De Servicios Y Transacciones S.A.
BYCHC,Ley N.Y.,CCL,2000.0,A1+(arg),,
BYCHD,Ley N.Y.,CCL,2000.0,A1+(arg),,
BYCHO,Ley N.Y.,CCL,2000.0,A1+(arg),Financiera,Banco De Galicia Y Buenos Aires S.A.U.
BYCVC,Ley Argentina,MEP,1.0,ML A-1.ar (Moodys),,
BYCVD,Ley Argentina,MEP,1.0,ML A-1.ar (Moodys),,
BYCVO,Ley Argentina,MEP,1.0,ML A-1.ar (Moodys),Financiera,Banco De Galicia Y Buenos Aires S.A.U.
BYCWC,Ley Argentina,MEP,1.0,ML A-1.ar (Moodys),,
BYCWD,Ley Argentina,MEP,1.0,ML A-1.ar (Moodys),,
BYCWO,Ley Argentina,MEP,1.0,ML A-1.ar (Moodys),Financiera,Banco De Galicia Y Buenos Aires S.A.U.
BYCXC,Ley Argentina,MEP,1000.0,,,
BYCXD,Ley Argentina,MEP,1000.0,,,
BYCXO,Ley Argentina,MEP,1000.0,,Financiera,Banco De Galicia Y Buenos Aires S.A.U.
BYY2D,Ley Argentina,MEP,,,,
BYY2O,Ley Argentina,MEP,,,Financiera,Banco De Galicia Y Buenos Aires S.A.U.
CAC5C,Ley N.Y.,CCL,1.0,AA (arg),,
CAC5D,Ley N.Y.,CCL,1.0,AA (arg),,
CAC5O,Ley N.Y.,CCL,1.0,AA (arg),O&G,Capex S.A.
CACBD,Ley Argentina,MEP,1.0,AA (FIX),,
CACBO,Ley Argentina,MEP,1.0,AA (FIX),O&G,Capex S.A.
CACDC,Ley Argentina,MEP,1.0,AA(arg) (FIX),,
CACDD,Ley Argentina,MEP,1.0,AA(arg) (FIX),,
CACDO,Ley Argentina,MEP,1.0,AA(arg) (FIX),O&G,Capex S.A.
CH24D,,,,,Subsoberano,
CIC7O,Ley Argentina,MEP,100.0,,Financiera,Cnh Industrial Capital Argentina S.A.
CIC8D,Ley Argentina,MEP,100.0,,,
CIC8O,Ley Argentina,MEP,100.0,,Financiera,Cnh Industrial Capital Argentina S.A.
CIC9O,Ley Argentina,MEP,100.0,,Financiera,Cnh Industrial Capital Argentina S.A.
CICAC,Ley Argentina,MEP,100.0,AA(arg) (FIX),,
CICAD,Ley Argentina,MEP,100.0,AA(arg) (FIX),,
CICAO,Ley Argentina,MEP,100.0,AA(arg) (FIX),Financiera,Cnh Industrial Capital Argentina S.A.
CICBC,Ley Argentina,MEP,1.0,AA(arg) (FIX),,
CICBD,Ley Argentina,MEP,1.0,AA(arg) (FIX),,
CICBO,Ley Argentina,MEP,1.0,AA(arg) (FIX),Financiera,Cnh Industrial Capital Argentina S.A.
CLSIC,Ley N.Y.,CCL,100.0,BBB (arg),,
CLSID,Ley N.Y.,CCL,100.0,BBB (arg),,
CLSIO,Ley N.Y.,CCL,100.0,BBB (arg),Construccion,CLISA
CO26,,,,,Subsoberano,
CO27D,,,,,Subsoberano,
CO2D7,,,,,Subsoberano,
CO32,,,,,Subsoberano,
CO32C,,,,,Subsoberano,
CO32D,,,,,Subsoberano,
CO35,,,,,Subsoberano,
CO35C,,,,,Subsoberano,
CO35D,,,,,Subsoberano,
COC2C,Ley Argentina,MEP,,,,
COC2D,Ley Argentina,MEP,,,,
COC2O,Ley Argentina,MEP,,,Financiera,Banco de Córdoba
COY27,,,,,Subsoberano,
CP36D,Ley Argentina,MEP,1.0,AA- (FIX),,
CP36O,Ley Argentina,MEP,1.0,AA- (FIX),O&G,Compañía General De Combustibles S.A.
CP37C,Ley Argentina,MEP,1.0,AA- (Moodys),,
CP37D,Ley Argentina,MEP,1.0,AA- (Moodys),,
CP37O,Ley Argentina,MEP,1.0,AA- (Moodys),O&G,Compañía General De Combustibles S.A.
CP38C,Ley N.Y.,CCL,100.0,AA-(arg) (FIX),,
CP38D,Ley N.Y.,CCL,100.0,AA-(arg) (FIX),,
CP38O,Ley N.Y.,CCL,100.0,AA-(arg) (FIX),O&G,Compañía General De Combustibles S.A.
CP40C,Ley Argentina,MEP,100.0,,,
CP40D,Ley Argentina,MEP,100.0,,,
CP40O,Ley Argentina,MEP,100.0,,O&G,Compañía General De Combustibles S.A.
CRCJO,Ley Argentina,MEP,100.0,,Industria,Celulosa Argentina S.A
CS45O,Ley Argentina,MEP,1.0,AA+ (FIX),Agro,Cresud Sacif Y A
CS47C,Ley Argentina,MEP,100.0,AA+(arg) (FIX),,
CS47D,Ley Argentina,MEP,100.0,AA+(arg) (FIX),,
CS47O,Ley Argentina,MEP,100.0,AA+(arg) (FIX),Agro,Cresud Sacif Y A
CS48C,Ley Argentina,MEP,100.0,AAA (FIX),,
CS48D,Ley Argentina,MEP,100.0,AAA (FIX),,
CS48O,Ley Argentina,MEP,100.0,AAA (FIX),Agro,Cresud Sacif Y A
CS49C,Ley Argentina,MEP,100.0,AAA(arg) (FIX),,
CS49D,Ley Argentina,MEP,100.0,AAA(arg) (FIX),,
CS49O,Ley Argentina,MEP,100.0,AAA(arg) (FIX),Agro,Cresud Sacif Y A
CS50C,Ley Argentina,MEP,1.0,AAA(arg) (FIX),,
CS50D,Ley Argentina,MEP,1.0,AAA(arg) (FIX),,
CS50O,Ley Argentina,MEP,1.0,AAA(arg) (FIX),Agro,Cresud Sacif Y A
CS51C,Ley Argentina,MEP,100.0,,,
CS51D,Ley Argentina,MEP,100.0,,,
CS51O,Ley Argentina,MEP,100.0,,Agro,Cresud Sacif Y A
CS52D,Ley Argentina,MEP,100.0,,,
CS52O,Ley Argentina,MEP,100.0,,Agro,Cresud Sacif Y A
CS53C,Ley Argentina,MEP,100.0,,,
CS53D,Ley Argentina,MEP,100.0,,,
CS53O,Ley Argentina,MEP,100.0,,Agro,Cresud Sacif Y A
CUAP,,,,,Soberano,Gobierno Argentino
CWC6D,Ley Argentina,MEP,1.0,A+ (FIX),,
CWC6O,Ley Argentina,MEP,1.0,A+ (FIX),O&G,Crown Point Energia Sa
D10Y7,,,,,Soberano,Gobierno Argentino
D30S6,,,,,Soberano,Gobierno Argentino
D31G6,,,,,Soberano,Gobierno Argentino
D31L6,,,,,Soberano,Gobierno Argentino
D31M7,,,,,Soberano,Gobierno Argentino
DEC2D,Ley Argentina,MEP,100.0,,,
DEC2O,Ley Argentina,MEP,100.0,,Servicios,Edesa S.A.
DEC4D,Ley Argentina,MEP,,,,
DEC4O,Ley Argentina,MEP,,,Servicios,Edesa S.A.
DHSJD,Ley Argentina,MEP,,,,
DHSJO,Ley Argentina,MEP,,,Financiera,Credicuotas Consumo S.A.
DHSKD,Ley Argentina,MEP,,,,
DHSKO,Ley Argentina,MEP,,,Financiera,Credicuotas Consumo S.A.
DICP,,,,,Soberano,Gobierno Argentino
DIP0,,,,,Soberano,Gobierno Argentino
DNC3C,Ley Argentina,MEP,1.0,,,
DNC3D,Ley Argentina,MEP,1.0,,,
DNC3O,Ley Argentina,MEP,1.0,,Servicios,Empresa Distribuidora Y Comercializadora Norte S.A.
DNC5C,Ley Argentina,MEP,100.0,,,
DNC5D,Ley Argentina,MEP,100.0,,,
DNC5O,Ley Argentina,MEP,100.0,,Servicios,Empresa Distribuidora Y Comercializadora Norte S.A.
DNC7C,Ley N.Y.,CCL,100.0,CCC+ (Fitch),,
DNC7D,Ley N.Y.,CCL,100.0,CCC+ (Fitch),,
DNC7O,Ley N.Y.,CCL,100.0,CCC+ (Fitch),Servicios,Empresa Distribuidora Y Comercializadora Norte S.A.
DNCAC,Ley N.Y.,CCL,100.0,A1(arg) (FIX),,
DNCAD,Ley N.Y.,CCL,100.0,A1(arg) (FIX),,
DNCAO,Ley N.Y.,CCL,100.0,A1(arg) (FIX),Servicios,Empresa Distribuidora Y Comercializadora Norte S.A.
DNCBC,Ley Argentina,CCL,100.0,,,
DNCBD,Ley Argentina,CCL,100.0,,,
DNCBO,Ley Argentina,CCL,100.0,,Servicios,Empresa Distribuidora Y Comercializadora Norte S.A.
EAC3D,Ley Argentina,MEP,100.0,,,
EAC3O,Ley Argentina,MEP,100.0,,Energias Renovables,Msu Green Energy Sa
EAC4C,Ley N.Y.,CCL,1.0,,,
EAC4D,Ley N.Y.,CCL,1.0,,,
EAC4O,Ley N.Y.,CCL,1.0,,Energias Renovables,Msu Green Energy Sa
EMC1C,Ley Argentina,MEP,100.0,,,
EMC1D,Ley Argentina,MEP,100.0,,,
EMC1O,Ley Argentina,MEP,100.0,,O&G,Compañía Mega
ERF25,,,,,Subsoberano,
FO4AD,Ley Argentina,MEP,100.0,,,
FO4AO,Ley Argentina,MEP,100.0,,Financiera,Futuros Y Opciones.Com S.A.
FPC1D,Ley Argentina,MEP,,,,
FPC1O,Ley Argentina,MEP,,,Industria,Fiplasto
FYC1D,Ley Argentina,MEP,100.0,,,
FYC1O,Ley Argentina,MEP,100.0,,Alimentos y Consumo,Farmacity
GD29,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GD29C,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GD29D,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GD30,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GD30C,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GD30D,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GD35,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GD35C,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GD35D,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GD38,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GD38C,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GD38D,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GD41,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GD41C,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GD41D,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GD46,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GD46C,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GD46D,Ley N.Y.,CCL,,,Soberano,Gobierno Argentino
GN43D,Ley Argentina,MEP,50.0,AA (FIX),,
GN43O,Ley Argentina,MEP,50.0,AA (FIX),Energias Renovables,Genneia S.A.
GN47D,Ley Argentina,MEP,1.0,AA (FIX),,
GN47O,Ley Argentina,MEP,1.0,AA (FIX),Energias Renovables,Genneia S.A.
GN48O,Ley Argentina,MEP,1.0,AA+ (FIX),Energias Renovables,Genneia S.A.
GN49C,Ley N.Y.,CCL,1000.0,B2 (Moodys),,
GN49D,Ley N.Y.,CCL,1000.0,B2 (Moodys),,
GN49O,Ley N.Y.,CCL,1000.0,B2 (Moodys),Energias Renovables,Genneia S.A.
GOC4O,Ley Argentina,MEP,1.0,,Servicios,Generacion Litoral S.A.
GYC4C,Ley Argentina,MEP,1.0,BV1(arg) (FIX),,
GYC4D,Ley Argentina,MEP,1.0,BV1(arg) (FIX),,
GYC4O,Ley Argentina,MEP,1.0,BV1(arg) (FIX),Energias Renovables,360 Energy S.A.
GYC5O,Ley Argentina,MEP,50.0,,Energias Renovables,360 Energy S.A.
HBCAC,Ley Argentina,MEP,1000.0,,,
HBCAD,Ley Argentina,MEP,1000.0,,,
HBCAO,Ley Argentina,MEP,1000.0,,Financiera,Banco Hipotecario S.A.
HBCDC,Ley Argentina,MEP,1000.0,A1+(arg) (FIX),,
HBCDD,Ley Argentina,MEP,1000.0,A1+(arg) (FIX),,
HBCDO,Ley Argentina,MEP,1000.0,A1+(arg) (FIX),Financiera,Banco Hipotecario S.A.
HBCFC,Ley Argentina,MEP,,,,
HBCFD,Ley Argentina,MEP,,,,
HBCFO,Ley Argentina,MEP,,,Financiera,Banco Hipotecario S.A.
HJCFC,Ley Argentina,MEP,1.0,AA (FIX),,
HJCFD,Ley Argentina,MEP,1.0,AA (FIX),,
HJCFO,Ley Argentina,MEP,1.0,AA (FIX),Financiera,John Deere Credit Compania Financiera S.A
HJCGO,Ley Argentina,MEP,1.0,AA (FIX),Financiera,John Deere Credit Compania Financiera S.A
HJCHC,Ley Argentina,MEP,1200.0,AA(arg) (FIX),,
HJCHD,Ley Argentina,MEP,1200.0,AA(arg) (FIX),,
HJCHO,Ley Argentina,MEP,1200.0,AA(arg) (FIX),Financiera,John Deere Credit Compania Financiera S.A
HJCIC,Ley Argentina,MEP,1200.0,,,
HJCID,Ley Argentina,MEP,1200.0,,,
HJCIO,Ley Argentina,MEP,1200.0,,Financiera,John Deere Credit Compania Financiera S.A
HJCJC,Ley Argentina,MEP,1000.0,,,
HJCJD,Ley Argentina,MEP,1000.0,,,
HJCJO,Ley Argentina,MEP,1000.0,,Financiera,John Deere Credit Compania Financiera S.A
HJCKC,Ley Argentina,MEP,1000.0,AA(arg) (FIX),,
HJCKD,Ley Argentina,MEP,1000.0,AA(arg) (FIX),,
HJCKO,Ley Argentina,MEP,1000.0,AA(arg) (FIX),Financiera,John Deere Credit Compania Financiera S.A
HJCLD,Ley Argentina,MEP,1000.0,AA(arg) (FIX),,
HJCLO,Ley Argentina,MEP,1000.0,AA(arg) (FIX),Financiera,John Deere Credit Compania Financiera S.A
HVS1D,Ley Argentina,MEP,,,,
HVS1O,Ley Argentina,MEP,,,Alimentos y Consumo,Havanna Holding SA
ICC6D,Ley Argentina,MEP,,,,
ICC6O,Ley Argentina,MEP,,,Financiera,Icbc
