raiz_emision,denominacion,cuit,clase,fuente,verificado
AEC2,AES ARGENTINA GENERACION S.A.,30663461113,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
AER9,AEROPUERTOS ARGENTINA 2000 S.A.,30696170580,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
AERB,AEROPUERTOS ARGENTINA 2000 S.A.,30696170580,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
AFCH,BANCO COMAFI S.A.,30604731018,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
AFCI,BANCO COMAFI S.A.,30604731018,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
ARC1,AEROPUERTOS ARGENTINA 2000 S.A.,30696170580,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
BACA,BANCO MACRO S.A.,30500010084,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
BACG,BANCO MACRO S.A.,30500010084,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
BCCK,BANCO CMF S.A.,30576614299,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
BDCK,BANCO DE CREDITO Y SECURITIZACION SA,30707227415,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
BF37,BANCO BBVA ARGENTINA S.A.,30500003193,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
BF39,BANCO BBVA ARGENTINA S.A.,30500003193,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
BGC4,BANCO PATAGONIA S.A.,30500006613,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
BPCS,BANCO SUPERVIELLE S.A.,33500005179,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
BPCT,BANCO SUPERVIELLE S.A.,33500005179,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
BPCU,BANCO SUPERVIELLE S.A.,33500005179,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
BVCP,BANCO DE SERVICIOS Y TRANSACCIONES S.A.,30704960995,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
BYCH,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,30500001735,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
BYCV,BANCO DE GALICIA Y BUENOS AIRES S.A.,30500001735,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
BYCW,BANCO DE GALICIA Y BUENOS AIRES S.A.,30500001735,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
BYCX,BANCO DE GALICIA Y BUENOS AIRES S.A.,30500001735,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CAC5,CAPEX S.A.,30629827060,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CAC6,CAPEX S.A.,30629827060,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CAC7,CAPEX S.A.,30629827060,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CACA,CAPEX S.A.,30629827060,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CACB,CAPEX S.A.,30629827060,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CACD,CAPEX S.A.,30629827060,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CIC7,CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,30714322938,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CIC8,CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,30714322938,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CIC9,CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,30714322938,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CICA,CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,30714322938,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CLI1,COMPANIA LAT.AM.DE INFRA&SERVICIOS,30710850395,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CLSI,COMPANIA LAT.AM.DE INFRA&SERVICIOS,30710850395,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
COC1,BANCO DE LA PROVINCIA DE CORDOBA S.A.,30999228565,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
COC2,BANCO DE LA PROVINCIA DE CORDOBA S.A.,30999228565,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CP28,CIA GENERAL DE COMBUSTIBLES S.A.,30506733932,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CP36,CIA GENERAL DE COMBUSTIBLES S.A.,30506733932,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CP37,CIA GENERAL DE COMBUSTIBLES S.A.,30506733932,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CP38,CIA GENERAL DE COMBUSTIBLES S.A.,30506733932,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CRCJ,CELULOSA ARGENTINA S.A.,30501062150,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CS40,CRESUD S.A.C.I.F. Y A.,30509300700,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CS45,CRESUD S.A.C.I.F. Y A.,30509300700,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CS47,CRESUD S.A.C.I.F. Y A.,30509300700,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CS48,CRESUD S.A.C.I.F. Y A.,30509300700,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CS49,CRESUD S.A.C.I.F. Y A.,30509300700,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CS50,CRESUD S.A.C.I.F. Y A.,30509300700,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CWC6,CROWN POINT ENERGIA S.A.,30709346268,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
CY2BP,CHAYE HNOS S.R.L.,30708410051,OBLIGACIONES NEGOCIABLES PYMES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
DEC2,EMPRESA DISTRIB DE ELECTRICIDAD SALTA S.A.,30690633635,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
DHSI,CREDICUOTAS CONSUMO S.A.,30710911580,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
DHSJ,CREDICUOTAS CONSUMO S.A.,30710911580,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
DNC3,EDENOR S.A.,30655116202,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
DNC5,EDENOR S.A.,30655116202,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
DNC7,EDENOR S.A.,30655116202,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
DNC9,EDENOR S.A.,30655116202,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
EAC1,MSU GREEN ENERGY S.A.U.,30714155128,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
EAC3,MSU GREEN ENERGY S.A.U.,30714155128,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
EMC1,COMPANIA MEGA S.A.,30696139888,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
EP4BP,TRESNAL AGROPECUARIA S.A.,33708830599,OBLIGACIONES NEGOCIABLES PYMES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
FPC1,FIPLASTO S.A.,30502112259,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
GN43,GENNEIA S.A.,30665234114,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
GN47,GENNEIA S.A.,30665234114,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
GN48,GENNEIA S.A.,30665234114,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
GN49,GENNEIA S.A.,30665234114,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
GOC4,GENERACION LITORAL SA,33715184139,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
GYC4,360 ENERGY SOLAR S.A,30712115803,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
GYC5,360 ENERGY SOLAR S.A,30712115803,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
HBCA,BANCO HIPOTECARIO S.A.,30500011072,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
HBCB,BANCO HIPOTECARIO S.A.,30500011072,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
HBCD,BANCO HIPOTECARIO S.A.,30500011072,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
HJCF,JOHN DEERE CREDIT COMPANIA FINANCIERA S.A.,30707024859,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
HJCG,JOHN DEERE CREDIT COMPANIA FINANCIERA S.A.,30707024859,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
HJCH,JOHN DEERE CREDIT COMPANIA FINANCIERA S.A.,30707024859,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
HJCI,JOHN DEERE CREDIT COMPANIA FINANCIERA S.A.,30707024859,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
HJCJ,JOHN DEERE CREDIT COMPANIA FINANCIERA S.A.,30707024859,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
HVS1,HAVANNA S.A.,33697235049,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
