raiz_emision,motivo
AFCJ,"sin código en ARCA (nuestras especies: ['AFCJC', 'AFCJD', 'AFCJO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
AFCK,"sin código en ARCA (nuestras especies: ['AFCKC', 'AFCKD', 'AFCKO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
AFCL,"sin código en ARCA (nuestras especies: ['AFCLC', 'AFCLD', 'AFCLO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
AFCM,"sin código en ARCA (nuestras especies: ['AFCMD', 'AFCMO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
AFCN,sin código en ARCA (nuestras especies: ['AFCNO']) — esperable si la emisión empezó a cotizar después del 31/12/2025
AFCP,"sin código en ARCA (nuestras especies: ['AFCPC', 'AFCPD', 'AFCPO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
AFCQ,"sin código en ARCA (nuestras especies: ['AFCQD', 'AFCQO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
AUS1L,sin código en ARCA (nuestras especies: ['AUS1L']) — esperable si la emisión empezó a cotizar después del 31/12/2025
AXS1M,sin código en ARCA (nuestras especies: ['AXS1M']) — esperable si la emisión empezó a cotizar después del 31/12/2025
BACH,"sin código en ARCA (nuestras especies: ['BACHC', 'BACHD', 'BACHO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
BAF27,sin código en ARCA (nuestras especies: ['BAF27']) — esperable si la emisión empezó a cotizar después del 31/12/2025
BF38,sin código en ARCA (nuestras especies: ['BF38O']) — esperable si la emisión empezó a cotizar después del 31/12/2025
BF40,"sin código en ARCA (nuestras especies: ['BF40C', 'BF40D', 'BF40O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
BF41,sin código en ARCA (nuestras especies: ['BF41O']) — esperable si la emisión empezó a cotizar después del 31/12/2025
BF44,"sin código en ARCA (nuestras especies: ['BF44C', 'BF44D', 'BF44O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
BF45,"sin código en ARCA (nuestras especies: ['BF45C', 'BF45D', 'BF45O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
BF46,"sin código en ARCA (nuestras especies: ['BF46C', 'BF46D', 'BF46O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
BF47,"sin código en ARCA (nuestras especies: ['BF47C', 'BF47D', 'BF47O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
BF48,sin código en ARCA (nuestras especies: ['BF48C']) — esperable si la emisión empezó a cotizar después del 31/12/2025
BF49,"sin código en ARCA (nuestras especies: ['BF49D', 'BF49O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
BF50,"sin código en ARCA (nuestras especies: ['BF50D', 'BF50O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
BNCX,"sin código en ARCA (nuestras especies: ['BNCXC', 'BNCXD', 'BNCXO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
BPCV,"sin código en ARCA (nuestras especies: ['BPCVC', 'BPCVD', 'BPCVO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
BPOA8,sin código en ARCA (nuestras especies: ['BPOA8']) — esperable si la emisión empezó a cotizar después del 31/12/2025
BVCR,"sin código en ARCA (nuestras especies: ['BVCRC', 'BVCRD', 'BVCRO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
BVCT,sin código en ARCA (nuestras especies: ['BVCTO']) — esperable si la emisión empezó a cotizar después del 31/12/2025
BVCU,"sin código en ARCA (nuestras especies: ['BVCUC', 'BVCUD', 'BVCUO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
BVCV,"sin código en ARCA (nuestras especies: ['BVCVC', 'BVCVD', 'BVCVO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
BYY1,"sin código en ARCA (nuestras especies: ['BYY1C', 'BYY1O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
BYY2,"sin código en ARCA (nuestras especies: ['BYY2C', 'BYY2D', 'BYY2O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
BYY3,"sin código en ARCA (nuestras especies: ['BYY3C', 'BYY3D']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
CFS9,"sin código en ARCA (nuestras especies: ['CFS9C', 'CFS9D', 'CFS9O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
CICB,"sin código en ARCA (nuestras especies: ['CICBC', 'CICBD', 'CICBO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
CP32,"ARCA trae la raíz con otro sufijo de liquidación (nuestras especies: ['CP32C']) — CP32O -> CUIT 30506733932 ('CIA GENERAL DE COMBUSTIBLES S.A.', 'ON CIA GEN.COMB. CL.32 V09/12/25 US CG')"
CP39,"sin código en ARCA (nuestras especies: ['CP39C', 'CP39D', 'CP39O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
CP40,"sin código en ARCA (nuestras especies: ['CP40C', 'CP40D', 'CP40O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
