emisor,cuit,fuente,verificado
360 ENERGY SOLAR S.A.,30711204055,CNV Listado Sociedades,2026-08-17
AEROPUERTOS ARGENTINA 2000 S.A.,30696170580,CNV Listado Sociedades,2026-08-17
Aes Argentina Generación S.A.,30663461113,CNV Listado Sociedades,2026-08-17
Agronorte S.R.L.,30547794482,CNV Listado Sociedades,2026-08-17
AKRON S.A.,30521840486,CNV Listado Sociedades,2026-08-17
ALUMINIO ARGENTINO S.A.I.C,30522780606,"CNV, verificado a mano 17/08/2026",2026-08-17
Alz Nutrientes S.A.,30714662992,CNV Listado Sociedades,2026-08-17
ARCOR S.A.I.C.,30502793175,CNV Listado Sociedades,2026-08-17
Arcor S.A.I.C.,30502793175,CNV Listado Sociedades,2026-08-17
BANCO BBVA ARGENTINA S.A.,30500003193,CNV Listado Sociedades,2026-08-17
Banco Bbva Argentina S.A,30500003193,CNV Listado Sociedades,2026-08-17
BANCO COMAFI S.A.,30604731018,CNV Listado Sociedades,2026-08-17
Banco Comafi S.A.,30604731018,CNV Listado Sociedades,2026-08-17
BANCO DE GALICIA Y BUENOS AIRES S.A.,30500001735,CNV Listado Sociedades,2026-08-17
Banco De Galicia Y Buenos Aires S.A.U.,30500001735,CNV Listado Sociedades,2026-08-17
BANCO DE LA PROVINCIA DE CORDOBA S.A.,30999228565,CNV Listado Sociedades,2026-08-17
BANCO DE SERVICIOS Y TRANSACCIONES S.A.,30704960995,CNV Listado Sociedades,2026-08-17
BANCO DE VALORES S.A.,30576124275,CNV Listado Sociedades,2026-08-17
BANCO HIPOTECARIO S.A.,30500011072,CNV Listado Sociedades,2026-08-17
Banco Hipotecario S.A.,30500011072,CNV Listado Sociedades,2026-08-17
BANCO MACRO S.A.,30500010084,CNV Listado Sociedades,2026-08-17
Banco Macro S.A.,30500010084,CNV Listado Sociedades,2026-08-17
BANCO MARIVA,30516420444,CNV Listado Sociedades,2026-08-17
Banco Mariva,30516420444,CNV Listado Sociedades,2026-08-17
BANCO PATAGONIA S.A.,30500006613,CNV Listado Sociedades,2026-08-17
BANCO SUPERVIELLE S.A.,33500005179,CNV Listado Sociedades,2026-08-17
C&C MEDICALS S.A.,30707174702,"CNV, verificado a mano 17/08/2026",2026-08-17
CAMUZZI GAS PAMPEANA S.A.,30657864281,CNV Listado Sociedades,2026-08-17
CAPEX S.A.,30629827060,CNV Listado Sociedades,2026-08-17
Celulosa Argentina S.A,30501062150,CNV Listado Sociedades,2026-08-17
CENTRAL PUERTO S.A.,33650305499,CNV Listado Sociedades,2026-08-17
CLISA,30692239292,CNV Listado Sociedades,2026-08-17
CLUB ATLETICO RIVER PLATE ASOCIACIÓN CIVIL,30526748448,"CNV, verificado a mano 17/08/2026",2026-08-17
CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,30714322938,CNV Listado Sociedades,2026-08-17
Cnh Industrial Capital Argentina S.A.,30714322938,CNV Listado Sociedades,2026-08-17
COMPAÑIA GENERAL DE COMBUSTIBLES S.A.,30506733932,"CNV, verificado a mano 17/08/2026",2026-08-17
Compañía General De Combustibles S.A.,30506733932,"CNV, verificado a mano 17/08/2026",2026-08-17
COMPAÑIA MEGA S.A.,30696139888,"CNV, verificado a mano 17/08/2026",2026-08-17
Credicuotas Consumo S.A.,30710911580,CNV Listado Sociedades,2026-08-17
Cresud Sacif Y A,30509300700,CNV Listado Sociedades,2026-08-17
CRESUD S.A.C.I.F.A.,30509300700,"CNV, verificado a mano 17/08/2026",2026-08-17
