ticker_papel,indice,alcance,pais,fuente,verificado
ACWI,MSCI ACWI Index,Mercados desarrollados y emergentes globales,,https://www.ishares.com/us/products/239600/ishares-msci-acwi-etf,2026-08-29
EFA,MSCI EAFE Index,"Europa, Australasia y Lejano Oriente (ex-EE.UU./Canadá)",,https://www.ishares.com/us/products/239623/ishares-msci-eafe-etf,2026-08-29
EWJ,MSCI Japan Index,Japón,JP,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf,2026-08-29
EWY,MSCI Korea 25/50 Index,Corea del Sur,KR,https://www.ishares.com/us/products/239681/ishares-msci-south-korea-capped-etf,2026-08-29
FXI,FTSE China 50 Index,"China (grandes empresas, Bolsa de Hong Kong)",CN,https://www.ishares.com/us/products/239536/ishares-china-largecap-etf,2026-08-29
ICLN,S&P Global Clean Energy Index,"Energía limpia, cobertura global",,https://www.ishares.com/us/products/239738/ishares-global-clean-energy-etf,2026-08-29
IEMG,MSCI Emerging Markets Investable Market Index,Mercados emergentes globales,,https://www.ishares.com/us/products/244050/ishares-core-msci-emerging-markets-etf,2026-08-29
IEUR,MSCI Europe Index,Europa desarrollada (15 países),,https://www.ishares.com/us/products/264617/ishares-core-msci-europe-etf,2026-08-29
ILF,S&P Latin America 40 Index,"Latinoamérica: Brasil, México, Chile, Perú y Colombia",,https://www.ishares.com/us/products/239761/ishares-latin-america-40-etf,2026-08-29
VEA,FTSE Developed All Cap ex US Index,"Desarrollados ex EE.UU.: Canadá, Europa y Pacífico",,https://investor.vanguard.com/investment-products/etfs/profile/vea,2026-08-29
