codigo_cnv,id_detalle_cnv,denominacion_cnv,verificado_por,curado_en
1,63278,Fondo Común de Inversión DELVAL,nombre,2026-08-23
1000,63957,Premier Performance Dólares,nombre,2026-08-23
1001,63958,Premier Global Dólares,nombre,2026-08-23
1005,63970,ALAMERICA RENTA FIJA ARGENTINA FCI,nombre,2026-08-23
1007,63972,CYC RENTA MIXTA,nombre,2026-08-23
1009,63966,COMPASS AHORRO EN DÓLARES FCI,nombre,2026-08-23
1010,63967,COMPASS BEST IDEAS FCI,nombre,2026-08-23
1011,63985,MAF Global FCI,nombre,2026-08-23
1012,63980,PIONERO RENTA ESTRATEGICO FONDO COMUN DE INVERSION,nombre,2026-08-23
1016,63994,INTERVALORES DÓLAR TOTAL RETURN FCI,nombre,2026-08-23
1017,63989,FCI ABIERTO PYMES POTENCIA PYME,nombre,2026-08-23
1019,81665,FIRST CRECIMIENTO FCI,nombre,2026-08-23
1020,81666,FIRST RENTA MIXTA I FCI,nombre,2026-08-23
1021,81667,FIRST RENTA MIXTA II FCI,nombre,2026-08-23
1022,63993,FCI Intervalores Ahorro,nombre,2026-08-23
1024,63992,ZOFINGEN RENTA FIJA DÓLAR,nombre,2026-08-23
1025,63977,Cohen Renta Fija Dolares,nombre,2026-08-23
1026,63983,CONSULTATIO GESTIÓN I FCI,nombre,2026-08-23
1027,63984,CONSULTATIO GESTIÓN II FCI,nombre,2026-08-23
1028,64003,SCHRODER INCOME F.C.I.,nombre,2026-08-23
1029,63976,FCI ZOFINGEN PESOS 24,nombre,2026-08-23
1030,63978,Fundcorp Long Performance Plus,nombre,2026-08-23
1031,63979,Fundcorp Long Performance,nombre,2026-08-23
1032,63986,JULIO A. ROCA VALORES NEGOCIABLES,nombre,2026-08-23
1033,63987,JULIO A. ROCA AHORRO PESOS,nombre,2026-08-23
1034,81616,FIRST AHORRO PESOS FCI,nombre,2026-08-23
1035,63997,FCI Integrae Renta Fija Crecimiento,nombre,2026-08-23
1037,81642,PELLEGRINI PROTECCIÓN FCI,nombre,2026-08-23
1039,64015,IAM PERFORMANCE AMÉRICAS FCI,nombre,2026-08-23
1041,63995,CICLO NOVA Ahorro Plus,nombre,2026-08-23
1042,63996,CICLO NOVA Retorno Total,nombre,2026-08-23
1043,64023,BALANZ LONG PESOS,nombre,2026-08-23
1044,64001,1810 RENTA MIXTA,nombre,2026-08-23
1045,64002,1810 AHORROS ACTIVOS,nombre,2026-08-23
1046,64000,1810 RENTA DÓLAR,nombre,2026-08-23
1048,64011,FBA COBERTURA PESOS,nombre,2026-08-23
1049,64012,FBA RENTA FIJA DÓLAR I Fondo Común de Inversión,nombre,2026-08-23
105,63255,FIMA PB ACCIONES,nombre,2026-08-23
1050,64013,FBA RENTA FIJA DÓLAR PLUS I Fondo Común de Inversión,nombre,2026-08-23
1051,64004,BULL MARKET RENTA FIJA FONDO COMUN DE INVERSION,nombre,2026-08-23
1053,64007,Galileo Fixed Income,nombre,2026-08-23
1054,64008,Galileo Renta,nombre,2026-08-23
1055,64006,Galileo Pesos,nombre,2026-08-23
1057,64016,MEGAQM ESTRATEGIA 10,nombre,2026-08-23
1058,64014,MEGAQM ESTRATEGIA 1,nombre,2026-08-23
1059,64017,ALAMERICA RENTA FIJA DOLAR LATAM FCI,nombre,2026-08-23
1061,64019,MAF GESTIÓN ACTIVA II FCI,nombre,2026-08-23
1062,64020,MAF GESTIÓN ACTIVA III FCI,nombre,2026-08-23
1064,64024,FIMA Acciones Latinoamerica,nombre,2026-08-23
1065,64025,FIMA Renta Fija Internacional,nombre,2026-08-23
