codigo_cnv,fondo_cafci,candidatos
1003,Superfondo Multiactivos Dólar - Clase A,sin candidatos
1004,Superfondo Renta Global - Clase A,sin candidatos
1006,CYC Renta Fija en Dolares - Clase A,sin candidatos
101,Atlas Div $ U$S y Otras Mon (Valor Final de Liq.),sin candidatos
1015,Zofingen Factoring Abierto Pyme - Clase A,sin candidatos
1018,Numancia Dólares - Clase E,sin candidatos
1023,Zofingen Dollar Linked - Clase A,sin candidatos
1040,IAM Lider Renta Pesos - Clase B,sin candidatos
1056,SBS Renta Fija I FCIC - Clase A,sin candidatos
106,1822 Raices Renta en Pesos,sin candidatos
1060,MAF Abiertos Pymes - Clase A,sin candidatos
1070,Consultatio Gestion Xl Dolar - Clase A,sin candidatos
108,1822 Raices Abierto Pymes,sin candidatos
1081,MEGAQM Renta Dólares - Clase A,sin candidatos
1082,Allaria Residencial I FCIC,sin candidatos
1086,MAF Mix I - Clase  Art. 11 Decreto 99/2019 y mod,sin candidatos
1087,MAF Mix II -  Clase RAP Ley N° 27.743,sin candidatos
1099,Valiant Abierto Pymes - Clase A,sin candidatos
1105,Argenfunds Liquidez - Clase A,sin candidatos
1113,Transatlantica Liquidez Pesos - Clase A,sin candidatos
1114,Allaria Adblick Granos FCIC Agropecuario,sin candidatos
1115,Fundcorp Estrategia - Clase A,sin candidatos
1121,Balanz Performance III - Clase A,sin candidatos
1124,HF Infraestructura - Clase C,sin candidatos
1134,Allaria Unicred Abierto Pymes FCI - Clase A,sin candidatos
1136,SBS Creaurban Desarrollo FCIC - Clase A,sin candidatos
1137,Optimum Abierto Pymes - Clase B,sin candidatos
1140,Champaquí FCI Abierto Pymes - Clase B,sin candidatos
1144,ADBlick Ganaderia FCIC,sin candidatos
1154,First Abierto Pymes II - Clase A,sin candidatos
1155,Balanz Infraestructura - Clase A,sin candidatos
1158,ST Zero - Clase A,sin candidatos
1161,Allaria Nomada Renta Corporativa FCIC - Clase A,sin candidatos
1164,Alpha Infraestructura - Clase A,sin candidatos
1167,Alpha Abierto Pymes - Clase A,sin candidatos
1178,Pionero Infraestructura - Clase A,sin candidatos
1188,CYC Dólares Renta Fija - Clase E Ley N° 27.743,sin candidatos
1189,CYC Pesos Renta Fija - Clase E Ley N° 27.743,sin candidatos
1190,Pellegrini I FCIC - Clase U,sin candidatos
1191,Lombard Abierto Pymes,sin candidatos
1197,Consultatio Multimercado III - Clase Z Ley N° 27.743,sin candidatos
1199,Consultatio Multimercado V - Clase Z Ley N° 27.743,sin candidatos
1200,Abierto Pymes Veta - Clase A,sin candidatos
1207,Alycbur FCI Abierto Pymes - Clase A,sin candidatos
1211,Consultatio ST Fondo Comun De Inversión ASG - Clase A,sin candidatos
1214,Julio A. Roca Abierto Pymes - Clase A,sin candidatos
1217,Alamerica Abierto Pymes - Clase A,sin candidatos
1218,Quiron Agro Pymes - Clase A,sin candidatos
1219,Consultatio Fondo de Dinero - Clase A,sin candidatos
1223,Abierto Momentum Pymes - Clase A,sin candidatos
1224,GSS Inmobiliario I FCIC,sin candidatos
1227,Dracma FCIC Inmobiliario - Clase A,sin candidatos
1233,Quiron Pymes Capital Plus - Clase A,sin candidatos
1239,Argenfunds Infraestructura - Clase A,sin candidatos
1253,Adcap S&C Renta Corporativa Corto Plazo Abierto Pymes - Clase A,sin candidatos
1261,Novus Pyme Abierto - Clase A,sin candidatos
1263,MAX Gestion Abierto Pyme I - Clase A,sin candidatos
