ticker_papel,nombre_largo,mercado_origen,sic_titulo,estrategia_etf,pais,fuente,verificado
AAL,American Airlines Group Inc,NASDAQ,"Air Transportation, Scheduled",,,,
AAP,Advanced Auto Parts Inc,NYSE,Retail-Auto & Home Supply Stores,,,,
AAPL,Apple Inc.,NASDAQ,Electronic Computers,,,,
ABBV,AbbVie Inc.,NYSE,Pharmaceutical Preparations,,,,
ABEV,Ambev S.A.,NASDAQ,Beverages,,,,
ABEV3,Ambev S.A.,B3,,,,,
ABNB,Airbnb Inc,NASDAQ GS,Services-To Dwellings & Other Buildings,,,,
ABT,Abbott Labs,NYSE,Pharmaceutical Preparations,,,,
ACN,Accenture,NYSE,"Services-Business Services, NEC",,,,
ACWI,iShares MSCI ACWI ETF,NASDAQ,,geografico,,,
ADBE,Adobe Systems Incorporated,NASDAQ,Services-Prepackaged Software,,,,
ADGO,Adecoagro S.A.,NYSE,,,,,
ADI,Analog Devices,NASDAQ,Semiconductors & Related Devices,,,,
ADP,Automatic Data Processing Inc.,NASDAQ,Services-Computer Processing & Data Preparation,,,,
ADS,Adidas AG,XETRA,,,,,
AEG,Aegon N.V.,NYSE,Life Insurance,,,,
AEM,Agnico Eagle Mines Limited,NYSE,Gold and Silver Ores,,,,
AI,C3.AI INC,NYSE,Services-Prepackaged Software,,,,
AIG,American International Group (AIG),NYSE,"Fire, Marine & Casualty Insurance",,,,
AKOBC,,,,,,,
AKOBD,,,,,,,
ALAC,,,,,,,
ALAD,,,,,,,
AMAT,Applied Materials Inc.,NASDAQ,Semiconductors & Related Devices,,,,
AMD,"Advanced Micro Devices, Inc.",NASDAQ,Semiconductors & Related Devices,,,,
AMGN,Amgen Inc.,NASDAQ,"Biological Products, (No Diagnostic Substances)",,,,
AMX,America Movil,NYSE,Telephone Communications (No Radiotelephone),,,,
AMZN,"Amazon.Com, Inc.",NYSE,Retail-Catalog & Mail-Order Houses,,,,
ANET,Arista Networks Inc.,NYSE,Computer Communications Equipment,,,,
ANF,Abercrombie & Fitch Co,NYSE,Retail-Family Clothing Stores,,,,
ARCO,Arcos Dorados Holdings Inc.,NYSE,Retail-Eating  Places,,,,
ARKK,ARK INNOVATION,NYSE Arca,,,,,
ARM,ARM Holdings Plc,NASDAQ,Semiconductors & Related Devices,,,,
ASML,ASML HOLDING NV,NASDAQ GS,"Special Industry Machinery, NEC",,,,
ASR,"Grupo Aeroportuario Del Sureste , S.A.B. de C.V.",NYSE,"Airports, Flying Fields & Airport Terminal Services",,,,
ASTS,AST SpaceMobile Inc,NASDAQ,"Communications Services, NEC",,,,
