ticker_papel,pais,fuente,verificado
COP,US,"SEC EDGAR, ficha del emisor (CIK 1163165): domicilio comercial en Houston, Texas, EE.UU.",2026-08-28
COPX,,fondo: la exposición geográfica la declara su propio nombre,
COST,US,"SEC EDGAR, ficha del emisor (CIK 909832): domicilio comercial en Issaquah, Washington, EE.UU.",2026-08-28
CRM,US,"SEC EDGAR, ficha del emisor (CIK 1108524): domicilio comercial en San Francisco, California, EE.UU.",2026-08-28
CRWD,US,"SEC EDGAR, ficha del emisor (CIK 1535527): domicilio comercial en Austin, Texas, EE.UU.",2026-08-28
CRWV,US,"SEC EDGAR, ficha del emisor (CIK 1769628): domicilio comercial en Livingston, Nueva Jersey, EE.UU.",2026-08-28
CSCO,US,"SEC EDGAR, ficha del emisor (CIK 858877): domicilio comercial en San José, California, EE.UU.",2026-08-28
CSNA3,BR,"Tabla oficial de CEDEARs de BYMA (17/04/2026): CSNA3 = Companhia Siderúrgica Nacional S.A., cotiza en B3; SEC EDGAR, ficha del emisor (CIK 1049659): domicilio comercial en Av. Brigadeiro Faria Lima 3400, San Pablo, Brasil",2026-08-28
CVS,US,"SEC EDGAR, ficha del emisor (CIK 64803): domicilio comercial en Woonsocket, Rhode Island, EE.UU.",2026-08-28
CVX,US,"SEC EDGAR, ficha del emisor (CIK 93410): domicilio comercial en Houston, Texas, EE.UU.",2026-08-28
CX,MX,"SEC EDGAR, ficha del emisor (CIK 1076378): domicilio comercial en Monterrey, Nuevo León, México",2026-08-28
DAL,US,"SEC EDGAR, ficha del emisor (CIK 27904): domicilio comercial en Atlanta, Georgia, EE.UU.",2026-08-28
DD,US,"SEC EDGAR, ficha del emisor (CIK 1666700): domicilio comercial en Wilmington, Delaware, EE.UU.",2026-08-28
DE,US,"SEC EDGAR, ficha del emisor (CIK 315189): domicilio comercial en Moline, Illinois, EE.UU.",2026-08-28
DECK,US,"SEC EDGAR, ficha del emisor (CIK 910521): domicilio comercial en Goleta, California, EE.UU.",2026-08-28
DEO,GB,"SEC EDGAR, ficha del emisor (CIK 835403): domicilio comercial en Londres, Reino Unido",2026-08-28
DHR,US,"SEC EDGAR, ficha del emisor (CIK 313616): domicilio comercial en Washington DC, EE.UU.",2026-08-28
DIA,,fondo: la exposición geográfica la declara su propio nombre,
DISN,US,"Tabla oficial de CEDEARs de BYMA (17/04/2026): DISN = The Walt Disney Co., NYSE; SEC EDGAR, ficha del emisor (CIK 1744489): domicilio comercial en Burbank, California, EE.UU.",2026-08-28
DJN3C,US,"Ficha de especie de Cohen (DJN3C): CEDEAR Johnson & Johnson ADR; SEC EDGAR, ficha del emisor (CIK 200406): domicilio comercial en New Brunswick, Nueva Jersey, EE.UU.",2026-08-28
DJN3D,US,"Ficha de especie Yahoo Finance (DJN3D.BA): Johnson & Johnson CEDEAR repr. 6; SEC EDGAR, ficha del emisor (CIK 200406): domicilio comercial en New Brunswick, Nueva Jersey, EE.UU.",2026-08-28
DJNJ3,US,"Ficha de especie de Cohen (DJNJ3): CEDEAR Johnson & Johnson ADR; SEC EDGAR, ficha del emisor (CIK 200406): domicilio comercial en New Brunswick, Nueva Jersey, EE.UU.",2026-08-28
DOCU,US,"SEC EDGAR, ficha del emisor (CIK 1261333): domicilio comercial en San Francisco, California, EE.UU.",2026-08-28
DOW,US,"SEC EDGAR, ficha del emisor (CIK 1751788): domicilio comercial en Midland, Michigan, EE.UU.",2026-08-28
DTEA,DE,"Sitio corporativo telekom.com, sección ""At a glance"": sede en Friedrich-Ebert-Allee 140, 53113 Bonn, Alemania",2026-08-28
E,IT,"SEC EDGAR, ficha del emisor (CIK 1002242): domicilio comercial en Roma, Italia",2026-08-28
EBAY,US,"SEC EDGAR, ficha del emisor (CIK 1065088): domicilio comercial en San José, California, EE.UU.",2026-08-28
EC,CO,"SEC EDGAR, ficha del emisor (CIK 1444406): domicilio comercial en Bogotá, Colombia",2026-08-28
ECL,US,"SEC EDGAR, ficha del emisor (CIK 31462): domicilio comercial en Saint Paul, Minnesota, EE.UU.",2026-08-28
EEM,,fondo: la exposición geográfica la declara su propio nombre,
EFA,,fondo: la exposición geográfica la declara su propio nombre,
EFX,US,"SEC EDGAR, ficha del emisor (CIK 33185): domicilio comercial en Atlanta, Georgia, EE.UU.",2026-08-28
ELPC,BR,"SEC EDGAR, ficha del emisor ELPC (CIK 1041792, ""Energy Co of Parana"" = Companhia Paranaense de Energía - COPEL): domicilio comercial en Rua José Izidoro Biazetto 158, Curitiba, Brasil",2026-08-28
EMBJ,BR,"SEC EDGAR, ficha del emisor EMBJ (CIK 1355444, Embraer S.A.): domicilio comercial en São José dos Campos, Brasil",2026-08-28
EOAN,DE,"Ficha de especie de Cohen (EOAN): CEDEAR E.ON SE ADR, cotiza en Frankfurt; SEC EDGAR, ficha del emisor (CIK 1136808): domicilio comercial en Alemania (E.ON-Platz 1, Düsseldorf)",2026-08-28
EQNR,NO,"SEC EDGAR, ficha del emisor (CIK 1140625): domicilio comercial en Stavanger, Noruega",2026-08-28
ERIC,SE,"SEC EDGAR, ficha del emisor (CIK 717826): domicilio comercial en Estocolmo, Suecia",2026-08-28
ESGU,,fondo: la exposición geográfica la declara su propio nombre,
ETHA,,fondo: la exposición geográfica la declara su propio nombre,
ETSY,US,"SEC EDGAR, ficha del emisor (CIK 1370637): domicilio comercial en Brooklyn, Nueva York, EE.UU.",2026-08-28
EWJ,,fondo: la exposición geográfica la declara su propio nombre,
