sic_codigo,titulo_en,etiqueta_es,fuente
0100,Agricultural Production-Crops,Producción agrícola de cultivos,SEC (sic_titulo persistido en perfil_renta_variable)
1000,Metal Mining,Minería metálica,SEC (sic_titulo persistido en perfil_renta_variable)
1040,Gold and Silver Ores,Minería de oro y plata,SEC (sic_titulo persistido en perfil_renta_variable)
1090,Miscellaneous Metal Ores,Minería de otros minerales metálicos,SEC (sic_titulo persistido en perfil_renta_variable)
1311,Crude Petroleum & Natural Gas,Petróleo crudo y gas natural,SEC (sic_titulo persistido en perfil_renta_variable)
1389,"Oil & Gas Field Services, NEC","Servicios para yacimientos de petróleo y gas, no clasificados en otra parte",SEC (sic_titulo persistido en perfil_renta_variable)
1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),Minería y canteras de minerales no metálicos (excepto combustibles),SEC (sic_titulo persistido en perfil_renta_variable)
2000,Food and Kindred Products,Alimentos y productos afines,SEC (sic_titulo persistido en perfil_renta_variable)
2060,Sugar & Confectionery Products,Azúcar y productos de confitería,SEC (sic_titulo persistido en perfil_renta_variable)
2080,Beverages,Bebidas,SEC (sic_titulo persistido en perfil_renta_variable)
2086,Bottled & Canned Soft Drinks & Carbonated Waters,Gaseosas y aguas carbonatadas embotelladas y enlatadas,SEC (sic_titulo persistido en perfil_renta_variable)
2111,Cigarettes,Cigarrillos,SEC (sic_titulo persistido en perfil_renta_variable)
2621,Paper Mills,Fábricas de papel,SEC (sic_titulo persistido en perfil_renta_variable)
2670,Converted Paper & Paperboard Prods (No Contaners/Boxes),Productos convertidos de papel y cartón (excepto envases y cajas),SEC (sic_titulo persistido en perfil_renta_variable)
2800,Chemicals & Allied Products,Química y productos afines,SEC (sic_titulo persistido en perfil_renta_variable)
2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers","Materiales plásticos, resinas sintéticas y elastómeros no vulcanizados",SEC (sic_titulo persistido en perfil_renta_variable)
2834,Pharmaceutical Preparations,Preparados farmacéuticos,SEC (sic_titulo persistido en perfil_renta_variable)
2836,"Biological Products, (No Diagnostic Substances)",Productos biológicos (excepto sustancias de diagnóstico),SEC (sic_titulo persistido en perfil_renta_variable)
2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics","Jabones, detergentes, productos de limpieza, perfumes y cosméticos",SEC (sic_titulo persistido en perfil_renta_variable)
2844,"Perfumes, Cosmetics & Other Toilet Preparations","Perfumes, cosméticos y otros productos de tocador",SEC (sic_titulo persistido en perfil_renta_variable)
2860,Industrial Organic Chemicals,Químicos orgánicos industriales,SEC (sic_titulo persistido en perfil_renta_variable)
2870,Agricultural Chemicals,Agroquímicos,SEC (sic_titulo persistido en perfil_renta_variable)
2911,Petroleum Refining,Refinación de petróleo,SEC (sic_titulo persistido en perfil_renta_variable)
3011,Tires & Inner Tubes,Neumáticos y cámaras,SEC (sic_titulo persistido en perfil_renta_variable)
3021,Rubber & Plastics Footwear,Calzado de caucho y plástico,SEC (sic_titulo persistido en perfil_renta_variable)
3241,"Cement, Hydraulic",Cemento hidráulico,SEC (sic_titulo persistido en perfil_renta_variable)
3290,"Abrasive, Asbestos & Misc Nonmetallic Mineral Prods","Abrasivos, asbesto y otros productos minerales no metálicos",SEC (sic_titulo persistido en perfil_renta_variable)
3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills","Acerías, altos hornos y laminadoras",SEC (sic_titulo persistido en perfil_renta_variable)
3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)","Acerías, altos hornos y laminadoras (con hornos de coque)",SEC (sic_titulo persistido en perfil_renta_variable)
3350,Rolling Drawing & Extruding of  Nonferrous Metals,"Laminado, trefilado y extrusión de metales no ferrosos",SEC (sic_titulo persistido en perfil_renta_variable)
3357,Drawing & Insulating of  Nonferrous Wire,Trefilado y aislamiento de alambre no ferroso,SEC (sic_titulo persistido en perfil_renta_variable)
3420,"Cutlery, Handtools & General Hardware","Cuchillería, herramientas manuales y artículos de ferretería",SEC (sic_titulo persistido en perfil_renta_variable)
3523,Farm Machinery & Equipment,Maquinaria y equipos agrícolas,SEC (sic_titulo persistido en perfil_renta_variable)
3531,Construction Machinery & Equip,Maquinaria y equipos de construcción,SEC (sic_titulo persistido en perfil_renta_variable)
3533,Oil & Gas Field Machinery & Equipment,Maquinaria y equipos para yacimientos de petróleo y gas,SEC (sic_titulo persistido en perfil_renta_variable)
3559,"Special Industry Machinery, NEC","Maquinaria industrial especializada, no clasificada en otra parte",SEC (sic_titulo persistido en perfil_renta_variable)
3570,Computer & office Equipment,Equipos de computación y de oficina,SEC (sic_titulo persistido en perfil_renta_variable)
3571,Electronic Computers,Computadoras electrónicas,SEC (sic_titulo persistido en perfil_renta_variable)
3572,Computer Storage Devices,Dispositivos de almacenamiento para computadoras,SEC (sic_titulo persistido en perfil_renta_variable)
3576,Computer Communications Equipment,Equipos de comunicación para computadoras,SEC (sic_titulo persistido en perfil_renta_variable)
3577,"Computer Peripheral Equipment, NEC","Equipos periféricos de computación, no clasificados en otra parte",SEC (sic_titulo persistido en perfil_renta_variable)
3579,"Office Machines, NEC","Máquinas de oficina, no clasificadas en otra parte",SEC (sic_titulo persistido en perfil_renta_variable)
3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,"Equipos de aire acondicionado y calefacción, y refrigeración comercial e industrial",SEC (sic_titulo persistido en perfil_renta_variable)
3600,Electronic & Other Electrical Equipment (No Computer Equip),Equipos electrónicos y eléctricos (excepto de computación),SEC (sic_titulo persistido en perfil_renta_variable)
3651,Household Audio & Video Equipment,Equipos de audio y video para el hogar,SEC (sic_titulo persistido en perfil_renta_variable)
3663,Radio & Tv Broadcasting & Communications Equipment,"Equipos de radiodifusión, televisión y comunicaciones",SEC (sic_titulo persistido en perfil_renta_variable)
3672,Printed Circuit Boards,Placas de circuito impreso,SEC (sic_titulo persistido en perfil_renta_variable)
3674,Semiconductors & Related Devices,Semiconductores y dispositivos afines,SEC (sic_titulo persistido en perfil_renta_variable)
3711,Motor Vehicles & Passenger Car Bodies,Vehículos automotores y carrocerías de automóviles,SEC (sic_titulo persistido en perfil_renta_variable)
3714,Motor Vehicle Parts & Accessories,Autopartes y accesorios para vehículos,SEC (sic_titulo persistido en perfil_renta_variable)
3721,Aircraft,Aeronaves,SEC (sic_titulo persistido en perfil_renta_variable)
3724,Aircraft Engines & Engine Parts,Motores de aeronaves y sus partes,SEC (sic_titulo persistido en perfil_renta_variable)
3751,"Motorcycles, Bicycles & Parts","Motocicletas, bicicletas y sus partes",SEC (sic_titulo persistido en perfil_renta_variable)
3760,Guided Missiles & Space Vehicles & Parts,"Misiles guiados, vehículos espaciales y sus partes",SEC (sic_titulo persistido en perfil_renta_variable)
3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys","Sistemas de búsqueda, detección, navegación, guiado y aeronáutica",SEC (sic_titulo persistido en perfil_renta_variable)
3823,"Industrial Instruments For Measurement, Display, and Control","Instrumentos industriales de medición, visualización y control",SEC (sic_titulo persistido en perfil_renta_variable)
3829,"Measuring & Controlling Devices, NEC","Dispositivos de medición y control, no clasificados en otra parte",SEC (sic_titulo persistido en perfil_renta_variable)
3841,Surgical & Medical Instruments & Apparatus,Instrumentos y aparatos quirúrgicos y médicos,SEC (sic_titulo persistido en perfil_renta_variable)
3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies","Aparatos e insumos ortopédicos, protésicos y quirúrgicos",SEC (sic_titulo persistido en perfil_renta_variable)
3844,X-Ray Apparatus & Tubes & Related Irradiation Apparatus,Aparatos y tubos de rayos X y equipos de irradiación afines,SEC (sic_titulo persistido en perfil_renta_variable)
3845,Electromedical & Electrotherapeutic Apparatus,Aparatos electromédicos y electroterapéuticos,SEC (sic_titulo persistido en perfil_renta_variable)
4011,"Railroads, Line-Haul Operating",Ferrocarriles de larga distancia,SEC (sic_titulo persistido en perfil_renta_variable)
4400,Water Transportation,Transporte marítimo y fluvial,SEC (sic_titulo persistido en perfil_renta_variable)
4412,Deep Sea Foreign Transportation of  Freight,Transporte marítimo internacional de carga de altura,SEC (sic_titulo persistido en perfil_renta_variable)
4512,"Air Transportation, Scheduled",Transporte aéreo regular,SEC (sic_titulo persistido en perfil_renta_variable)
4513,Air Courier Services,Servicios de correo aéreo urgente,SEC (sic_titulo persistido en perfil_renta_variable)
4581,"Airports, Flying Fields & Airport Terminal Services","Aeropuertos, campos de aviación y servicios de terminales aeroportuarias",SEC (sic_titulo persistido en perfil_renta_variable)
4700,Transportation Services,Servicios de transporte,SEC (sic_titulo persistido en perfil_renta_variable)
4812,Radiotelephone Communications,Comunicaciones de radiotelefonía (telefonía celular),SEC (sic_titulo persistido en perfil_renta_variable)
4813,Telephone Communications (No Radiotelephone),Comunicaciones telefónicas (excepto radiotelefonía),SEC (sic_titulo persistido en perfil_renta_variable)
4832,Radio Broadcasting Stations,Estaciones de radiodifusión (radio),SEC (sic_titulo persistido en perfil_renta_variable)
4833,Television Broadcasting Stations,Estaciones de radiodifusión de televisión,SEC (sic_titulo persistido en perfil_renta_variable)
4841,Cable & Other Pay Television Services,Televisión por cable y otros servicios de TV paga,SEC (sic_titulo persistido en perfil_renta_variable)
4899,"Communications Services, NEC","Servicios de comunicaciones, no clasificados en otra parte",SEC (sic_titulo persistido en perfil_renta_variable)
4911,Electric Services,Servicios eléctricos,SEC (sic_titulo persistido en perfil_renta_variable)
4922,Natural Gas Transmission,Transporte (transmisión) de gas natural,SEC (sic_titulo persistido en perfil_renta_variable)
4924,Natural Gas Distribution,Distribución de gas natural,SEC (sic_titulo persistido en perfil_renta_variable)
4941,Water Supply,Suministro de agua,SEC (sic_titulo persistido en perfil_renta_variable)
5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",Distribución mayorista de medicamentos y artículos de farmacia,SEC (sic_titulo persistido en perfil_renta_variable)
5140,Wholesale-Groceries & Related Products,Distribución mayorista de comestibles y productos afines,SEC (sic_titulo persistido en perfil_renta_variable)
5211,Retail-Lumber & Other Building Materials Dealers,Venta minorista de madera y otros materiales de construcción,SEC (sic_titulo persistido en perfil_renta_variable)
5331,Retail-Variety Stores,Tiendas minoristas de variedades,SEC (sic_titulo persistido en perfil_renta_variable)
5531,Retail-Auto & Home Supply Stores,Tiendas minoristas de autopartes y artículos para el hogar,SEC (sic_titulo persistido en perfil_renta_variable)
5651,Retail-Family Clothing Stores,Tiendas minoristas de indumentaria familiar,SEC (sic_titulo persistido en perfil_renta_variable)
5810,Retail-Eating & Drinking Places,Restaurantes y bares,SEC (sic_titulo persistido en perfil_renta_variable)
5812,Retail-Eating  Places,Restaurantes,SEC (sic_titulo persistido en perfil_renta_variable)
5912,Retail-Drug Stores and Proprietary Stores,Farmacias,SEC (sic_titulo persistido en perfil_renta_variable)
5961,Retail-Catalog & Mail-Order Houses,Venta minorista por catálogo y correo,SEC (sic_titulo persistido en perfil_renta_variable)
5990,"Retail-Retail Stores, NEC","Comercio minorista, no clasificado en otra parte",SEC (sic_titulo persistido en perfil_renta_variable)
6021,National Commercial Banks,Bancos comerciales nacionales,SEC (sic_titulo persistido en perfil_renta_variable)
6022,State Commercial Banks,Bancos comerciales estaduales,SEC (sic_titulo persistido en perfil_renta_variable)
6029,"Commercial Banks, NEC",Bancos comerciales,SEC (sic_titulo persistido en perfil_renta_variable)
6035,"Savings Institution, Federally Chartered",Entidades de ahorro con licencia federal,SEC (sic_titulo persistido en perfil_renta_variable)
6111,Federal & Federally-Sponsored Credit Agencies,Agencias de crédito federales y patrocinadas por el gobierno federal,SEC (sic_titulo persistido en perfil_renta_variable)
6199,Finance Services,Servicios financieros,SEC (sic_titulo persistido en perfil_renta_variable)
6211,"Security Brokers, Dealers & Flotation Companies","Corredores y agentes de bolsa, y compañías de colocación de valores",SEC (sic_titulo persistido en perfil_renta_variable)
6221,Commodity Contracts Brokers & Dealers,Corredores y agentes de contratos de commodities,SEC (sic_titulo persistido en perfil_renta_variable)
6282,Investment Advice,Asesoramiento de inversiones,SEC (sic_titulo persistido en perfil_renta_variable)
6311,Life Insurance,Seguros de vida,SEC (sic_titulo persistido en perfil_renta_variable)
6324,Hospital & Medical Service Plans,Planes de servicios hospitalarios y médicos (obras sociales/prepagas),SEC (sic_titulo persistido en perfil_renta_variable)
6331,"Fire, Marine & Casualty Insurance","Seguros de incendio, marítimos y de otros riesgos",SEC (sic_titulo persistido en perfil_renta_variable)
6411,"Insurance Agents, Brokers & Service","Agentes, corredores y servicios de seguros",SEC (sic_titulo persistido en perfil_renta_variable)
6770,Blank Checks,Cheques en blanco (sociedades de propósito especial),SEC (sic_titulo persistido en perfil_renta_variable)
6792,Oil Royalty Traders,Comercializadoras de regalías petroleras,SEC (sic_titulo persistido en perfil_renta_variable)
6798,Real Estate Investment Trusts,Fideicomisos de inversión inmobiliaria (REIT),SEC (sic_titulo persistido en perfil_renta_variable)
7011,Hotels & Motels,Hoteles y moteles,SEC (sic_titulo persistido en perfil_renta_variable)
7200,Services-Personal Services,Servicios personales,SEC (sic_titulo persistido en perfil_renta_variable)
7320,"Services-Consumer Credit Reporting, Collection Agencies",Informes de crédito al consumidor y agencias de cobranza,SEC (sic_titulo persistido en perfil_renta_variable)
7340,Services-To Dwellings & Other Buildings,Servicios de mantenimiento para viviendas y otros edificios,SEC (sic_titulo persistido en perfil_renta_variable)
7370,"Services-Computer Programming, Data Processing, Etc.","Programación informática, procesamiento de datos y servicios afines",SEC (sic_titulo persistido en perfil_renta_variable)
7371,Services-Computer Programming Services,Servicios de programación informática,SEC (sic_titulo persistido en perfil_renta_variable)
7372,Services-Prepackaged Software,Software empaquetado,SEC (sic_titulo persistido en perfil_renta_variable)
7374,Services-Computer Processing & Data Preparation,Procesamiento de datos y preparación de información,SEC (sic_titulo persistido en perfil_renta_variable)
7380,Services-Miscellaneous Business Services,Servicios empresariales diversos,SEC (sic_titulo persistido en perfil_renta_variable)
7389,"Services-Business Services, NEC","Servicios empresariales, no clasificados en otra parte",SEC (sic_titulo persistido en perfil_renta_variable)
7500,"Services-Automotive Repair, Services & Parking","Reparación y servicios automotores, y estacionamiento",SEC (sic_titulo persistido en perfil_renta_variable)
7510,Services-Auto Rental & Leasing (No Drivers),Alquiler y leasing de automóviles (sin chofer),SEC (sic_titulo persistido en perfil_renta_variable)
