major_group,nombre_en,etiqueta_es,fuente
01,Agricultural Production Crops,Producción agrícola de cultivos,https://www.osha.gov/data/sic-manual
02,Agriculture Production Livestock And Animal Specialties,Producción ganadera y de especialidades animales,https://www.osha.gov/data/sic-manual
07,Agricultural Services,Servicios agropecuarios,https://www.osha.gov/data/sic-manual
08,Forestry,Silvicultura,https://www.osha.gov/data/sic-manual
09,"Fishing, Hunting, And Trapping","Pesca, caza y trampeo",https://www.osha.gov/data/sic-manual
10,Metal Mining,Minería metálica,https://www.osha.gov/data/sic-manual
12,Coal Mining,Minería de carbón,https://www.osha.gov/data/sic-manual
13,Oil And Gas Extraction,Extracción de petróleo y gas,https://www.osha.gov/data/sic-manual
14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",Minería y canteras de minerales no metálicos (excepto combustibles),https://www.osha.gov/data/sic-manual
15,Building Construction General Contractors And Operative Builders,Construcción de edificios (contratistas generales y desarrolladores),https://www.osha.gov/data/sic-manual
16,Heavy Construction Other Than Building Construction Contractors,Construcción pesada (obras de infraestructura),https://www.osha.gov/data/sic-manual
17,Construction Special Trade Contractors,Contratistas de oficios especializados en construcción,https://www.osha.gov/data/sic-manual
20,Food And Kindred Products,Alimentos y productos afines,https://www.osha.gov/data/sic-manual
21,Tobacco Products,Productos de tabaco,https://www.osha.gov/data/sic-manual
22,Textile Mill Products,Productos textiles,https://www.osha.gov/data/sic-manual
23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Indumentaria y otros productos confeccionados con telas y materiales similares,https://www.osha.gov/data/sic-manual
24,"Lumber And Wood Products, Except Furniture",Productos de madera (excepto muebles),https://www.osha.gov/data/sic-manual
25,Furniture And Fixtures,Muebles y accesorios,https://www.osha.gov/data/sic-manual
26,Paper And Allied Products,Papel y productos afines,https://www.osha.gov/data/sic-manual
27,"Printing, Publishing, And Allied Industries","Imprenta, edición e industrias afines",https://www.osha.gov/data/sic-manual
28,Chemicals And Allied Products,Química y productos afines,https://www.osha.gov/data/sic-manual
29,Petroleum Refining And Related Industries,Refinación de petróleo e industrias afines,https://www.osha.gov/data/sic-manual
30,Rubber And Miscellaneous Plastics Products,Caucho y productos plásticos diversos,https://www.osha.gov/data/sic-manual
31,Leather And Leather Products,Cuero y productos de cuero,https://www.osha.gov/data/sic-manual
32,"Stone, Clay, Glass, And Concrete Products","Piedra, arcilla, vidrio y productos de hormigón",https://www.osha.gov/data/sic-manual
33,Primary Metal Industries,Industrias metálicas básicas,https://www.osha.gov/data/sic-manual
34,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Productos metálicos elaborados (excepto maquinaria y equipos de transporte),https://www.osha.gov/data/sic-manual
35,Industrial And Commercial Machinery And Computer Equipment,"Maquinaria industrial y comercial, y equipos de computación",https://www.osha.gov/data/sic-manual
36,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Equipos y componentes electrónicos y eléctricos (excepto de computación),https://www.osha.gov/data/sic-manual
37,Transportation Equipment,Equipos de transporte,https://www.osha.gov/data/sic-manual
38,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks","Instrumentos de medición, análisis y control; productos fotográficos, médicos y ópticos; relojes",https://www.osha.gov/data/sic-manual
39,Miscellaneous Manufacturing Industries,Industrias manufactureras diversas,https://www.osha.gov/data/sic-manual
40,Railroad Transportation,Transporte ferroviario,https://www.osha.gov/data/sic-manual
41,Local And Suburban Transit And Interurban Highway Passenger Transportation,"Transporte urbano, suburbano e interurbano de pasajeros por carretera",https://www.osha.gov/data/sic-manual
42,Motor Freight Transportation And Warehousing,Transporte de carga por camión y almacenamiento,https://www.osha.gov/data/sic-manual
43,United States Postal Service,Servicio Postal de Estados Unidos,https://www.osha.gov/data/sic-manual
44,Water Transportation,Transporte marítimo y fluvial,https://www.osha.gov/data/sic-manual
45,Transportation By Air,Transporte aéreo,https://www.osha.gov/data/sic-manual
46,"Pipelines, Except Natural Gas",Oleoductos (excepto de gas natural),https://www.osha.gov/data/sic-manual
47,Transportation Services,Servicios de transporte,https://www.osha.gov/data/sic-manual
48,Communications,Comunicaciones,https://www.osha.gov/data/sic-manual
49,"Electric, Gas, And Sanitary Services","Electricidad, gas y servicios sanitarios",https://www.osha.gov/data/sic-manual
50,Wholesale Trade-durable Goods,Comercio mayorista de bienes durables,https://www.osha.gov/data/sic-manual
51,Wholesale Trade-non-durable Goods,Comercio mayorista de bienes no durables,https://www.osha.gov/data/sic-manual
52,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers","Materiales de construcción, ferretería, artículos de jardín y casas rodantes",https://www.osha.gov/data/sic-manual
53,General Merchandise Stores,Tiendas de mercadería general,https://www.osha.gov/data/sic-manual
